threshold,precision,recall,f1_score,roc_auc,pr_auc,brier_score,expected_calibration_error,true_positives,false_positives,true_negatives,false_negatives,missed_fraud_loss_inr,investigation_cost_inr,total_financial_loss_inr,review_rate,fraud_capture_rate,blocked_fraud_value_inr,experiment
0.5,0.3124,0.9892,0.4748,0.9962,0.9471,0.033297,0.097432,184,405,4960,2,399045.08,81000.0,480045.08,0.1061,0.9892,345728713.51,Full_Features_With_Balance_Errors
0.5,0.158,0.8011,0.264,0.8931,0.5078,0.115773,0.26798,149,794,4571,37,9529599.27,158800.0,9688399.27,0.1699,0.8011,336598159.32,Ablation_Without_Balance_Errors
