w_ml,w_anomaly,w_rules,optimal_loss,optimal_recall,optimal_precision
0.6,0.2,0.2,899048.69,0.9235,0.4183
0.5,0.25,0.25,942048.69,0.9235,0.273
0.7,0.15,0.15,882648.69,0.9235,0.5248
0.8,0.1,0.1,580833.06,0.9508,0.1403
0.65,0.25,0.1,909048.69,0.9235,0.3722
0.55,0.15,0.3,883248.69,0.9235,0.52
